PLANT_CD,PROCESS_CD,USAGE_COUNT,FIRST_USED,LAST_USED
SA00,A01,229,2026-01-06 00:00:00,2026-05-08 00:00:00
SA00,A02,114,2026-01-05 00:00:00,2026-05-08 00:00:00
SA00,A03,144,2026-01-06 00:00:00,2026-05-08 00:00:00
SA00,A04,42,2026-01-02 00:00:00,2026-05-06 00:00:00
SA00,A05,3,2026-03-25 00:00:00,2026-04-09 00:00:00
SA00,A07,58,2026-01-05 00:00:00,2026-05-07 00:00:00
SH00,H01,68,2026-01-07 00:00:00,2026-05-06 00:00:00
SH00,H02,3,2026-03-11 00:00:00,2026-04-23 00:00:00
SH00,H03,88,2025-01-08 00:00:00,2026-05-08 00:00:00
SH00,H04,2,2026-03-16 00:00:00,2026-03-16 00:00:00
