DEPT_CD,DEPT_NAME,UP_DEPT_CD,DEPT_SORT_ORDR,DEPT_STATUS
A4CSH00000000,㈜수산세보틱스,CKOET00063,1,U
A4CSH10000000,회장,A4CSH00000000,1,U
A4CSH11000000,CEO,A4CSH10000000,1,U
A4CSH11100000,BR영업부문,A4CSH11000000,1,U
A4CSH11110000,BR영업팀,A4CSH11100000,1,U
A4CSH11110100,BR국내영업팀,A4CSH11110000,1,U
A4CSH11110200,BR해외영업팀,A4CSH11110000,2,U
A4CSH11120000,(X)CR영업팀,A4CSH11100000,2,U
A4CSH11120100,(X)국내영업2팀,A4CSH11120000,1,U
A4CSH11120200,(X)CR해외영업팀,A4CSH11120000,2,U
A4CSH11120400,(X)CR_러시아,A4CSH11100000,5,U
A4CSH11160000,(X)중국법인,A4CSH11100000,3,U
A4CSH11170000,(X)출하부품팀,A4CSH11100000,4,U
A4CSH11170100,(X)고객지원팀(A/S),A4CSH13000000,1,U
A4CSH11170200,(X)부품판매(국내),A4CSH11170000,1,U
A4CSH11170300,(X)부품판매(해외),A4CSH11170000,2,U
A4CSH11180000,CSO,A4CSH11000000,19,U
A4CSH11200000,BR생산부문,A4CSH13000000,2,U
A4CSH11210000,BR생산팀,A4CSH11200000,1,U
A4CSH11210100,(X)생산팀(BR생관),A4CSH11210000,1,U
A4CSH11210200,(X)생산팀(BR기준),A4CSH11210000,2,U
A4CSH11210300,(X)구매팀-BR,A4CSH11210000,3,U
A4CSH11210400,BR자재팀,A4CSH11210000,4,U
A4CSH11210500,(X)생산팀(BR생기),A4CSH11210000,5,U
A4CSH11210600,BR_연삭반,A4CSH11210000,6,U
A4CSH11210700,BR_열처리,A4CSH11210000,7,U
A4CSH11210800,BR_BKT조립,A4CSH11210000,8,U
A4CSH11210900,BR_M/B조립,A4CSH11210000,9,U
A4CSH11211000,BR_출하,A4CSH11210000,10,U
A4CSH11211100,BR_선삭반,A4CSH11210000,11,U
A4CSH11220000,CR생산팀,A4CSH11200000,2,U
A4CSH11220100,(X)생산팀(CR생관),A4CSH11220000,1,U
A4CSH11220200,(X)생산팀(CR기준),A4CSH11220000,2,U
A4CSH11220300,(X)구매팀-CR,A4CSH11220000,3,U
A4CSH11220400,CR자재팀,A4CSH11220000,4,U
A4CSH11220500,CR_BODY조립,A4CSH11220000,5,U
A4CSH11220510,CR_BOOM조립,A4CSH11220000,8,U
A4CSH11220520,CR_전기/옵션,A4CSH11220000,9,U
A4CSH11220530,CR_도장,A4CSH11220000,10,U
A4CSH11220540,CR_장착,A4CSH11220000,11,U
A4CSH11220600,(X)고객지원팀(CR장착),A4CSH11220000,6,U
