ITEM_CD,ITEM_NM,ITEM_GROUP_NM,SPEC,BASIC_UNIT,HS_CD
002206-711120,"HYDRAULIC HOSE/SDQ02P/PF1/4""X320KX1000L",SDQ02P,"PF1/4""X320KX1000L",EA,
004013-181008,"GREASE NIPPLE/SDQ02P/1/8""",SDQ02P,"1/8""",EA,
0221-045002,SNAP RING/SDQ02P/D45(FOR SHAFT),SDQ02P,D45(FOR SHAFT),EA,
1109090,ROUND BAR/D90/SNCM439,SB43,D90,KG,
1111111,A FO DOOR MODULE FLH,SB10,AAAAAAA-AA,EA,8412.90-9000
1119205,ROUND BAR/D205/AE4145M,SQ180,D205,KG,
1129114,ROUND BAR/D114.3/AW501,SB50,,KG,8431.49-9000
1157003,SQUARE BAR/360X335-FB/SCM440,SB4000,360X335-FB,KG,
1211-79400,RUBBER  CUSHION ( JD-2000 ),SD-25,"-, -, -",EA,
1412001,CYLINDER/SB200H/500X385X1016/31CrMoV9,SB200H,500X370X1016,EA,8412.90-9000
1413001,CYLINDER/SB200H/500X385X1016/SCM440,SB200H,500X370X1016,EA,8412.90-9000
1420005,BACK HEAD/SB40/152X200X162/SCM420,SB40,152X200X162,EA,8431.49-9000
1420005-TEST,BACK HEAD/SB40/152X200X162/SCM420,SB40,152X200X162,EA,8431.49-9000
1420006,BACK HEAD/SB45/175X235X265/SCM420,SB45,175X235X265,EA,8431.49-9000
1420007,BACK HEAD/SB50/275X220X261/SCM420,SB50,275X220X261,EA,8431.49-9000
1420008,BACK HEAD/SB81/360X265X361/SCM420,SB81,360X265X361,EA,8431.49-9000
1420008-TEST,BACK HEAD/SB81/360X265X361/SCM420,SB81,360X265X361,EA,8431.49-9000
1420009,BACK HEAD/SB125/395X300X383/SCM420,SB125,395X300X383,EA,8431.49-9000
1420018,CYLINDER/SB40/152X200X375/SCM420,SB40,152X200X375,EA,8412.90-9000
1420018-TEST,CYLINDER/SB40/152X200X375/SCM420,SB40,152X200X375,EA,8412.90-9000
1420019,CYLINDER/SB45/175X235X497/SCM420,SB45,175X235X497,EA,8412.90-9000
1420020,CYLINDER/SB50/275X220X541/SCM420,SB50,275X220X541,EA,8412.90-9000
1420021,CYLINDER/SB81/360X265X559/SCM420,SB81,360X265X559,EA,8412.90-9000
1420021-TEST,CYLINDER/SB81/360X265X559/SCM420,SB81,360X265X559,EA,8412.90-9000
1420022,CYLINDER/SB125/395X300X636/SCM420,SB125,395X300X636,EA,8412.90-9000
1420047,FRONT HEAD/SB40/152X165X406/SCM420,SB40,152X165X406,EA,8431.49-9000
1420047-TEST,FRONT HEAD/SB40/152X165X406/SCM420,SB40,152X165X406,EA,8431.49-9000
1420048,FRONT HEAD/SB45/175X200X490/SCM420,SB45,175X200X490,EA,8431.49-9000
1420049,FRONT HEAD/SB50/240X220X559/SCM420,SB50,240X220X559,EA,8431.49-9000
1420050,FRONT HEAD/SB81/315X265X696/SCM420,SB81,315X265X696,EA,8431.49-9000
1420051,FRONT HEAD/SB125/335X295X773/SCM420,SB125,335X295X773,EA,8431.49-9000
