REPORT_NO,STATUS_FLAG,DEPT_CD,DEPT_NM,FLAW_GBN,REPORT_DT,INPUT_DT,PLANT_CD,PROCESS_CD,ITEM_CD,ITEM_GROUP_CD,FLAW_QTY,TYPE_CD,LOSS_MH,BP_CD,PAR_ITEM_CD,OUT_HOGI,ISSUE_DT,REMARK,INIT_QA_YN,REL_DEPT_YN,REL_DEPT_CD,CLAIM_YN,PART_COST,LABOR_COST,CLAIM_AMT,FINAL_CLAIM_AMT,DECIDE_RESULT,FLAW_STATE,ACT_RESULT,REL_DEPT_DT,REL_DEPT_COMMENT,CAP_YN,CAP_ACTION,QA_COMMENT,DECIDE_YN,DECIDE_DT,SIGN_YN,SIGN_DT,FINAL_YN,FINAL_DT,INSRT_USER_ID,INSRT_DT,UPDT_USER_ID,UPDT_DT,REG_DT,BIZ_DT,USE_ITEM_SEQ
QA2512001,P15,SH11610100,품질관리팀,QC,2025-12-09 00:00:00,2026-02-03 00:00:00,SH00,H03,C0051647,CX304,12.00,H,700,성진메탈,C0027018,,,,N,Y,SH11231200,Y,0.00,860.00,602000.00,0.00,R03,"현상: 업체 하도 도장 입고품 도막 표면에 오렌지필(Orange peel)현상 발생 원인: 점도 과다(희석 부족),  건조속도, 도장거리, 온습도 관리 미흡 추정 수량:  총 14SET(FRAME+BODY), SCS1016F4:12SET  SCS1505:2SET ","조치: 사내 도장반 샌더기 작업후 상도 작업 진행 시간당 손실공수: 51,500원 / 대당 손실시간:  50분 / 부적합 수량 14대 /총 손실시간: 700분 총 손실 금액 : 602,000원  ",,,N,,,N,,,,N,,222009,2026-02-03 11:56:04.407000,222009,2026-02-06 15:31:40.707000,,,0
QA2601002,P20,SH11610100,품질관리팀,QC,2026-01-05 00:00:00,2026-01-19 00:00:00,SA00,A07,AW34600,ZZZZZ,1.00,I,0,1228610520,A670000,33,,,N,Y,SH22101000,N,0.00,860.00,0.00,0.00,,2-SOL V/V 코일 커넥터 삽입부 파손 1EA-공정 작업 부주의로 인해 파손됨(이전 불량 교체품임) ,생산팀 담당자 손망실보고서 작성후 구매요청함 ,,,N,,,Y,2026-04-15 09:25:27.897000,,,N,,499162,2026-01-19 16:07:05.197000,202001,2026-04-15 09:25:27.897000,2026-03-04 09:26:59.800000,,0
QA2601003,P20,SH11610100,품질관리팀,QC,2026-01-06 00:00:00,2026-01-20 00:00:00,SA00,A01,PT00200A,ZZZZZ,2.00,K,730,1248147182,P020000,4~5,,클레임,N,Y,SH11610100,N,0.00,51500.00,0.00,0.00,,1라인-엔진 프런트 아이들기어 백래쉬 공차로 인해 소음발생-설계팀 이전호기 동일증상으로 서비스방문 수정함 ,커민스엔진 서비스접수완료. 업체방문 수정조치완료-현장 분해조립 추가공수 패널티처리예정 ,,,N,,,Y,2026-04-17 09:42:29.673000,,,N,,499162,2026-01-20 08:40:40.737000,499162,2026-04-17 09:42:29.673000,2026-03-04 09:26:59.800000,,0
QA2601004,P20,SH11610100,품질관리팀,QC,2026-01-06 00:00:00,2026-01-20 00:00:00,SA00,A02,DC57500012,ZZZZZ,1.00,B,0,3320703029,D580000,103~104,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,2라인-프랜지 3번 단품 용접 반대로됨-용접비드간섭으로 캐빈과 틈새발생함 ,업체반출 용접수정 및 재도금 입고완료 ,,,N,,,Y,2026-04-17 09:44:30.660000,,,N,,499162,2026-01-20 08:48:41.313000,499162,2026-04-17 09:44:30.660000,2026-03-04 09:26:59.800000,,0
QA2601005,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A07,EW07430,ZZZZZ,1.00,E,0,4280201574,WC10000000,42,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,"전기라인-하네스-C에서 하네스-E 연결부 12P 커넥터 7번~12번 핀배열 바뀜-데릭,텔레 작동불능 ",현장 확인점검후 수정조치완료.업체내용전달후 입고전 확인요청함 ,,,N,,,Y,2026-04-17 09:45:09.200000,,,N,,499162,2026-01-20 08:56:01.420000,499162,2026-04-17 09:45:09.200000,2026-03-04 09:26:59.800000,,0
QA2601007,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A07,EC19900,ZZZZZ,1.00,E,0,2298600847,WC10000000,41,,,N,Y,SH11610100,N,0.00,860.00,0.00,0.00,,전기라인-리모콘 수신기 수신불가.점등 켜지지않음 ,현장점검후 수신기 추후분 교체작업후 정상작동함. 업체내용전달후 교체공수 패널티처리예정.업체 신품교체완료 ,,,N,,,Y,2026-04-17 09:46:39.360000,,,N,,499162,2026-01-20 09:06:53.670000,499162,2026-04-17 09:46:39.360000,2026-03-04 09:26:59.800000,,0
QA2601008,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A02,J8B1-2003099-00,ZZZZZ,1.00,A,120,3018133096,J8B1-0000000-00,392,,클레임-재도장비용,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,"2라인-SLIDE BASE 실린더 V/V M/T 조립불가-EXT'CYL PIN 조립부 가공불량 확인함.S:1525mm, A:1535mm ",업체 교체작업 조치완료.불량확인 및 분해조립 작업지원 공수 패널티처리예정. 재도장 비용 패널티처리예정 ,,,N,,,Y,2026-04-17 09:47:02.350000,,,N,,499162,2026-01-20 09:15:46.037000,499162,2026-04-17 09:47:02.350000,2026-03-04 09:26:59.800000,,0
QA2601009,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A03,WR25000,ZZZZZ,1.00,D,0,1058125362,WC10000000,40,,,N,Y,SH11610100,N,0.00,0.00,0.00,0.00,,3라인-3-WAY SOL' V/V 수동작동 이상무. 리모콘작동시 고속작동시 밸브 SOL'차단안됨으로 작동불능(저속은 작동됨) ,"재고분 V/V SOL' 교체후 작동불능. 업체방문 ASS'Y 교체완료.최초작동시 작동안됨.작동유 상온시 작동됨.업체,설계팀 원인분석 필요 탈거분 업체반출 SOL' 확인결과 이상무 ",,,N,,,Y,2026-04-17 09:49:58.270000,,,N,,499162,2026-01-20 09:22:16.830000,499162,2026-04-17 09:49:58.270000,2026-03-04 09:26:59.800000,,0
QA2601010,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A07,EW07410,ZZZZZ,1.00,E,0,4280201574,WC10000000,41,,,N,Y,SH11231200,N,0.00,860.00,0.00,0.00,,전기라인-하네스-A에 12P 커넥터 7번~12번 핀 배열바뀜  ,현장수정 조치완료. 업체 내용전달후 납품전 확인요청함 ,,,N,,,Y,2026-04-17 09:50:22.347000,,,N,,499162,2026-01-20 09:33:08.360000,499162,2026-04-17 09:50:22.347000,2026-03-04 09:26:59.800000,,0
QA2601011,P20,SH11610100,품질관리팀,QC,2026-01-07 00:00:00,2026-01-20 00:00:00,SA00,A01,4712005-0400520,ZZZZZ,1.00,K,0,6108601571,Z5P1-MPPV000-00,855,,,N,Y,SH11610100,N,0.00,51500.00,0.00,0.00,,1라인-현대엔진 냉각수 센서 블록 냉각수 누수됨.-블록 가스켓 찢어짐 확인함 ,업체 방문수리요청함-1/12일 서비스방문 부품 교체완료 ,,,N,,,Y,2026-04-17 09:50:52.930000,,,N,,499162,2026-01-20 09:49:57.200000,499162,2026-04-17 09:50:52.930000,2026-03-04 09:26:59.800000,,0
