INSP_REQ_NO,INSP_CLASS_CD,INSP_REQ_DT,PLANT_CD,ITEM_CD,BP_CD,WC_CD,OPR_NO,POR_NO,POR_SEQ,PRODT_NO,LOT_NO,LOT_SIZE,SL_CD,INSP_REQMT_DT,INSP_SCHDL_DT,INSP_STATUS,UNIT_CD,RELEASE_DT
QR002363,R,2026-05-08 00:00:00,SA00,ES11100,1248667387,,,PO2604030081,4,,*,8.000000,A601,2026-05-08 00:00:00,,N,EA ,
QR002362,R,2026-05-08 00:00:00,SA00,ES11100,1248667387,,,PO2604200013,1,,*,10.000000,A700,2026-05-08 00:00:00,,R,EA ,2026-05-08 00:00:00
QR002361,R,2026-05-08 00:00:00,SA00,S5T3-2178000-01,2348802346,,,PO2604030088,2,,*,2.000000,A601,2026-05-08 00:00:00,,R,EA ,2026-05-08 00:00:00
QR002360,R,2026-05-08 00:00:00,SA00,6171-55000,2348802346,,,PO2604030088,1,,*,2.000000,A601,2026-05-08 00:00:00,,R,EA ,2026-05-08 00:00:00
QR002358,R,2026-05-07 00:00:00,SA00,EC08100,2298600847,,,PO2601220146,2,,*,11.000000,A503,2026-05-07 00:00:00,,R,EA ,2026-05-07 00:00:00
QR002354,R,2026-05-07 00:00:00,SA00,EC04400,2298600847,,,PO2604010053,1,,*,2.000000,A601,2026-05-07 00:00:00,,R,EA ,2026-05-07 00:00:00
QR002353,R,2026-05-07 00:00:00,SA00,EC04400,2298600847,,,PO2603270049,2,,*,2.000000,A601,2026-05-07 00:00:00,,R,EA ,2026-05-07 00:00:00
QR002351,R,2026-05-06 00:00:00,SA00,D303221,1348149488,,,PO2603120082,1,,*,2.000000,A601,2026-05-06 00:00:00,,R,EA ,2026-05-06 00:00:00
QR002350,R,2026-05-06 00:00:00,SA00,6110025-050260D,8528601272,,,PO2603180073,1,,*,6.000000,A700,2026-05-06 00:00:00,,R,EA ,2026-05-06 00:00:00
QR002349,R,2026-05-06 00:00:00,SA00,6110025-050260D,8528601272,,,PO2604030013,1,,*,2.000000,A601,2026-05-06 00:00:00,,R,EA ,2026-05-06 00:00:00
QR002348,R,2026-05-06 00:00:00,SA00,6110025-050260D,8528601272,,,PO2602270067,1,,*,1.000000,A601,2026-05-06 00:00:00,,R,EA ,2026-05-06 00:00:00
