INSP_REQ_NO,INSP_RESULT_NO,INSP_CLASS_CD,INSP_DT,BP_CD,ITEM_CD,PLANT_CD,LOT_NO,LOT_SIZE,SL_CD,INSP_QTY,DEFECT_QTY,DECISION,INSPECTOR_CD,RMK,SL_CD_FOR_GOOD,SL_CD_FOR_DEFECT,STATUS_FLAG,TRANSFER_FLAG,RELEASE_DT,GOODS_QTY,DEFECTIVES_QTY
QR002362,1,R,2026-05-08 00:00:00,1248667387,ES11100,SA00,*,10.000000,A700,10.000000,0.000000,A,13,,A700,,R,Y,2026-05-08 00:00:00,10.000000,0.000000
QR002361,1,R,2026-05-08 00:00:00,2348802346,S5T3-2178000-01,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-08 00:00:00,2.000000,0.000000
QR002360,1,R,2026-05-08 00:00:00,2348802346,6171-55000,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-08 00:00:00,2.000000,0.000000
QR002358,1,R,2026-05-07 00:00:00,2298600847,EC08100,SA00,*,11.000000,A503,11.000000,0.000000,A,13,,A503,,R,Y,2026-05-07 00:00:00,11.000000,0.000000
QR002354,1,R,2026-05-07 00:00:00,2298600847,EC04400,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-07 00:00:00,2.000000,0.000000
QR002353,1,R,2026-05-07 00:00:00,2298600847,EC04400,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-07 00:00:00,2.000000,0.000000
QR002351,1,R,2026-05-06 00:00:00,1348149488,D303221,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-06 00:00:00,2.000000,0.000000
QR002350,1,R,2026-05-06 00:00:00,8528601272,6110025-050260D,SA00,*,6.000000,A700,6.000000,0.000000,A,13,,A700,,R,Y,2026-05-06 00:00:00,6.000000,0.000000
QR002349,1,R,2026-05-06 00:00:00,8528601272,6110025-050260D,SA00,*,2.000000,A601,2.000000,0.000000,A,13,,A601,,R,Y,2026-05-06 00:00:00,2.000000,0.000000
QR002348,1,R,2026-05-06 00:00:00,8528601272,6110025-050260D,SA00,*,1.000000,A601,1.000000,0.000000,A,13,,A601,,R,Y,2026-05-06 00:00:00,1.000000,0.000000
